Frame,Vertical_Height
2.831000000000000000e+03,3.100000000000000000e+01
2.832000000000000000e+03,3.000000000000000000e+01
2.833000000000000000e+03,2.900000000000000000e+01
2.834000000000000000e+03,3.000000000000000000e+01
2.835000000000000000e+03,2.900000000000000000e+01
2.836000000000000000e+03,2.900000000000000000e+01
2.837000000000000000e+03,2.900000000000000000e+01
2.838000000000000000e+03,2.900000000000000000e+01
2.839000000000000000e+03,2.800000000000000000e+01
2.840000000000000000e+03,2.800000000000000000e+01
2.841000000000000000e+03,2.700000000000000000e+01
2.842000000000000000e+03,2.700000000000000000e+01
2.843000000000000000e+03,2.500000000000000000e+01
2.844000000000000000e+03,2.500000000000000000e+01
2.845000000000000000e+03,2.400000000000000000e+01
2.846000000000000000e+03,2.400000000000000000e+01
2.847000000000000000e+03,2.300000000000000000e+01
2.848000000000000000e+03,2.400000000000000000e+01
2.849000000000000000e+03,2.200000000000000000e+01
2.850000000000000000e+03,2.300000000000000000e+01
2.851000000000000000e+03,2.200000000000000000e+01
2.852000000000000000e+03,2.100000000000000000e+01
2.853000000000000000e+03,2.200000000000000000e+01
2.854000000000000000e+03,2.000000000000000000e+01
2.855000000000000000e+03,1.900000000000000000e+01
2.856000000000000000e+03,1.700000000000000000e+01
2.857000000000000000e+03,1.400000000000000000e+01
2.858000000000000000e+03,1.100000000000000000e+01
